Symbol,Name,Date,Cash and Cash Equivalents,Short-Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long-Term Investments,Fixed Assets,Goodwill,Intangible Assets,Other Assets,Deferred Asset Charges,Total Assets,Accounts Payable,Short-Term Debt / Current Portion of Long-Term Debt,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Other Liabilities,Deferred Liability Charges,Misc. Stocks,Minority Interest,Total Liabilities,Common Stocks,Capital Surplus,Retained Earnings,Treasury Stock,Other Equity,Total Equity,Total Liabilities & Equity
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares) (BHP),30/06/2023,12428000,0,5102000,5220000,601000,23351000,1768000,73221000,0,1610000,1290000,56000,101296000,6907000,0,12136000,19043000,72000,29302000,4349000,4034000,0,56800000,4737000,39787000,-41000,0,13000,44496000,101296000
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares) (BHP),30/06/2022,17236000,0,5689000,4935000,804000,28664000,1573000,62610000,0,1369000,894000,56000,95166000,9719000,0,7200000,16919000,87000,26281000,3113000,3809000,0,50209000,4638000,40338000,-31000,0,12000,44957000,95166000
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares) (BHP),30/06/2021,15246000,0,6338000,4426000,683000,26693000,2079000,75171000,0,1437000,1635000,1912000,108927000,9827000,0,6576000,16403000,120000,33300000,3499000,4341000,0,57663000,2168000,46779000,-33000,0,2350000,51264000,108927000
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares) (BHP),30/06/2020,13426000,0,3730000,4101000,214000,21471000,2852000,73583000,0,1574000,2565000,3688000,105733000,6680000,0,8144000,14824000,110000,34635000,3989000,4310000,0,57868000,2168000,43396000,-5000,0,2306000,47865000,105733000
RIO,Rio Tinto Plc Common Stock (RIO),31/12/2022,6775000,0,3825000,6213000,2160000,18973000,5191000,64937000,826000,3645000,406000,2766000,96744000,8623000,923000,2057000,11603000,10788000,18478000,3601000,2099000,0,46569000,3537000,34511000,0,4322000,7805000,50175000,96744000
RIO,Rio Tinto Plc Common Stock (RIO),31/12/2021,12807000,0,3646000,5436000,2543000,24432000,5727000,65123000,879000,2832000,528000,3375000,102896000,11246000,1381000,0,12627000,14246000,15930000,3503000,5158000,0,51464000,3777000,33337000,0,4320000,9998000,51432000,102896000
RIO,Rio Tinto Plc Common Stock (RIO),31/12/2020,10381000,0,3706000,3917000,2851000,20855000,5564000,63056000,946000,2755000,829000,3385000,97390000,11000000,607000,0,11607000,14705000,15936000,3239000,4849000,0,50336000,3988000,26792000,0,4314000,11960000,47054000,97390000
RIO,Rio Tinto Plc Common Stock (RIO),31/12/2019,8027000,0,3143000,3463000,2670000,17303000,5692000,57511000,922000,2637000,635000,3102000,87802000,9753000,1372000,0,11125000,14511000,13704000,3220000,4710000,0,47270000,3655000,23387000,0,4313000,9177000,40532000,87802000
VALE,VALE S.A. American Depositary Shares Each Representing one common share (VALE),31/12/2022,4736000,61000,5591000,4482000,656000,15526000,1798000,44938000,0,10238000,3624000,10770000,86894000,8225000,489000,5177000,13891000,14948000,19284000,1413000,1491000,0,51027000,0,0,0,0,0,35867000,86894000
VALE,VALE S.A. American Depositary Shares Each Representing one common share (VALE),31/12/2021,11721000,184000,4776000,4377000,326000,21384000,1751000,42907000,0,9011000,2948000,11441000,89442000,7437000,1204000,6557000,15198000,15997000,21060000,1881000,834000,0,54970000,0,0,0,0,0,34472000,89442000
VALE,VALE S.A. American Depositary Shares Each Representing one common share (VALE),31/12/2020,13487000,771000,5502000,4061000,582000,24403000,2031000,41148000,0,9296000,4794000,10335000,92007000,6415000,1136000,7043000,14594000,17304000,23518000,1770000,-923000,0,56263000,0,0,0,0,0,35744000,92007000
VALE,VALE S.A. American Depositary Shares Each Representing one common share (VALE),31/12/2019,7350000,826000,3451000,4274000,1141000,17042000,2798000,46576000,0,8499000,7581000,9217000,91713000,6695000,1439000,5711000,13845000,15992000,21001000,1882000,-1074000,0,51646000,0,0,0,0,0,40067000,91713000
AMZN,"Amazon.com, Inc. Common Stock (AMZN)",31/12/2022,53888000,16138000,42360000,34405000,0,146791000,0,252838000,20288000,0,42758000,0,462675000,142166000,0,13227000,155393000,67150000,94089000,0,0,0,316632000,108000,83193000,-7837000,75066000,-4487000,146043000,462675000
AMZN,"Amazon.com, Inc. Common Stock (AMZN)",31/12/2021,36220000,59829000,32891000,32640000,0,161580000,0,216363000,15371000,0,27235000,0,420549000,130439000,0,11827000,142266000,48744000,91294000,0,0,0,282304000,106000,85915000,-1837000,55437000,-1376000,138245000,420549000
AMZN,"Amazon.com, Inc. Common Stock (AMZN)",31/12/2020,42122000,42274000,24542000,23795000,0,132733000,0,150667000,15017000,0,22778000,0,321195000,116677000,0,9708000,126385000,31816000,69590000,0,0,0,227791000,5000,52551000,-1837000,42865000,-180000,93404000,321195000
AMZN,"Amazon.com, Inc. Common Stock (AMZN)",31/12/2019,36092000,18929000,20816000,20497000,0,96334000,0,97846000,14754000,0,16314000,0,225248000,79622000,0,8190000,87812000,23414000,51962000,0,0,0,163188000,5000,31220000,-1837000,33658000,-986000,62060000,225248000
TSLA,"Tesla, Inc. Common Stock (TSLA)",31/12/2022,16253000,5932000,2952000,12839000,2941000,40917000,0,31146000,194000,215000,9866000,0,82338000,22397000,1502000,2810000,26709000,1597000,5330000,2804000,785000,409000,37225000,3000,12885000,0,32177000,-361000,44704000,82338000
TSLA,"Tesla, Inc. Common Stock (TSLA)",31/12/2021,17576000,131000,1913000,5757000,1723000,27100000,0,25411000,200000,257000,9163000,0,62131000,15744000,1589000,2372000,19705000,5245000,3546000,2052000,826000,568000,31374000,3000,329000,0,29803000,54000,30189000,62131000
TSLA,"Tesla, Inc. Common Stock (TSLA)",31/12/2020,19384000,0,1886000,4101000,1346000,26717000,0,17396000,207000,313000,7515000,0,52148000,9906000,2132000,2210000,14248000,9556000,3330000,1284000,850000,655000,29268000,1000,-5399000,0,27260000,363000,22225000,52148000
TSLA,"Tesla, Inc. Common Stock (TSLA)",31/12/2019,6268000,0,1324000,3552000,959000,12103000,0,14061000,198000,339000,7608000,0,34309000,6993000,1785000,1889000,10667000,11634000,2691000,1207000,849000,643000,27048000,1000,-6083000,0,12736000,-36000,6618000,34309000
V,Visa Inc. (V),30/09/2022,17138000,2833000,3952000,0,6282000,30205000,2136000,3223000,17787000,25065000,7085000,0,85501000,7767000,5531000,7555000,20853000,20200000,3535000,5332000,0,0,49920000,19545000,16116000,0,0,-2404000,35581000,85501000
V,Visa Inc. (V),30/09/2021,17381000,2025000,3726000,0,4475000,27607000,1705000,2715000,15958000,27664000,7247000,0,82896000,6071000,3442000,6226000,15739000,19978000,3462000,6128000,0,0,45307000,18855000,15351000,0,0,303000,37589000,82896000
V,Visa Inc. (V),30/09/2020,17190000,3752000,2882000,0,3821000,27645000,231000,2737000,15910000,27808000,6588000,0,80919000,4685000,4735000,5090000,14510000,21071000,3891000,5237000,0,0,44709000,0,14088000,0,16721000,315000,36210000,80919000
V,Visa Inc. (V),30/09/2019,9043000,4236000,4590000,0,3101000,20970000,2157000,2695000,15656000,26780000,4316000,0,72574000,4225000,3990000,5200000,13415000,16729000,2939000,4807000,0,0,37890000,0,13502000,0,16541000,-821000,34684000,72574000
