Symbol,Name,Date,Total Revenue,Cost of Revenue,Gross Profit,Research and Development,"Sales, General and Admin.",Non-Recurring Items,Other Operating Items,Operating Income,Add'l income/expense items,Earnings Before Interest and Tax,Interest Expense,Earnings Before Tax,Income Tax,Minority Interest,Equity Earnings/Loss Unconsolidated Subsidiary,Net Income-Cont. Operations,Net Income,Net Income Applicable to Common Shareholders
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares) (BHP),30/06/2023,53817000,0,53817000,0,31865000,0,0,21952000,529000,22481000,2060000,20421000,6691000,594000,-1403000,14324000,12921000,12921000
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares) (BHP),30/06/2022,65098000,0,65098000,0,31280000,0,0,33818000,81000,33899000,1050000,32849000,10430000,-19000,-2155000,22400000,30900000,30900000
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares) (BHP),30/06/2021,56921000,0,56921000,0,30731000,0,0,26190000,67000,26257000,1290000,24967000,10376000,-915000,-2147000,13676000,11304000,11304000
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares) (BHP),30/06/2020,38924000,0,38924000,0,24714000,0,0,14210000,334000,14544000,1192000,13352000,4216000,-508000,-780000,8628000,7956000,7956000
RIO,Rio Tinto Plc Common Stock (RIO),31/12/2022,55554000,34770000,20784000,0,0,746000,0,19933000,-1616000,18997000,335000,18662000,5586000,575000,0,13651000,13076000,13076000
RIO,Rio Tinto Plc Common Stock (RIO),31/12/2021,63495000,32690000,30805000,0,-7000,995000,0,29817000,217000,31076000,243000,30833000,8258000,1042000,0,23617000,22575000,22575000
RIO,Rio Tinto Plc Common Stock (RIO),31/12/2020,44611000,26254000,18357000,0,-1000,1529000,0,16829000,-1483000,15659000,268000,15391000,4991000,313000,0,10713000,10400000,10400000
RIO,Rio Tinto Plc Common Stock (RIO),31/12/2019,43165000,27307000,15858000,0,-10000,4111000,0,11466000,-385000,11673000,554000,11119000,4147000,301000,0,7273000,6972000,6972000
VALE,VALE S.A. American Depositary Shares Each Representing one common share (VALE),31/12/2022,43839000,24028000,19811000,660000,2237000,-294000,0,17208000,3447000,20960000,1179000,19781000,2971000,305000,-82000,16728000,18788000,18788000
VALE,VALE S.A. American Depositary Shares Each Representing one common share (VALE),31/12/2021,54502000,21729000,32773000,549000,3457000,1074000,0,27693000,4368000,30790000,1249000,29541000,4697000,-1271000,-108000,24736000,22445000,22445000
VALE,VALE S.A. American Depositary Shares Each Representing one common share (VALE),31/12/2020,39545000,17564000,21981000,415000,6548000,2195000,0,12823000,-3655000,8148000,1158000,6990000,735000,-1020000,3000,6258000,4881000,4881000
VALE,VALE S.A. American Depositary Shares Each Representing one common share (VALE),31/12/2019,36549000,19312000,17237000,413000,8395000,4536000,0,3893000,291000,3528000,3684000,-156000,-595000,-656000,-115000,324000,-1683000,-1683000
AMZN,"Amazon.com, Inc. Common Stock (AMZN)",31/12/2022,513983000,288831000,225152000,0,212904000,0,0,12248000,-15817000,-3569000,2367000,-5936000,-3217000,-3000,0,-2722000,-2722000,-2722000
AMZN,"Amazon.com, Inc. Common Stock (AMZN)",31/12/2021,469822000,272344000,197478000,0,172599000,0,0,24879000,15081000,39960000,1809000,38151000,4791000,4000,0,33364000,33364000,33364000
AMZN,"Amazon.com, Inc. Common Stock (AMZN)",31/12/2020,386064000,233307000,152757000,0,129858000,0,0,22899000,2926000,25825000,1647000,24178000,2863000,16000,0,21331000,21331000,21331000
AMZN,"Amazon.com, Inc. Common Stock (AMZN)",31/12/2019,280522000,165536000,114986000,0,100445000,0,0,14541000,1035000,15576000,1600000,13976000,2374000,-14000,0,11588000,11588000,11588000
TSLA,"Tesla, Inc. Common Stock (TSLA)",31/12/2022,81462000,60609000,20853000,3075000,3946000,176000,0,13656000,254000,13910000,191000,13719000,1132000,0,-31000,12556000,12556000,12556000
TSLA,"Tesla, Inc. Common Stock (TSLA)",31/12/2021,53823000,40217000,13606000,2593000,4517000,-27000,0,6523000,191000,6714000,371000,6343000,699000,0,-125000,5519000,5519000,5519000
TSLA,"Tesla, Inc. Common Stock (TSLA)",31/12/2020,31536000,24906000,6630000,1491000,3145000,0,0,1994000,-92000,1902000,748000,1154000,292000,0,-141000,721000,721000,721000
TSLA,"Tesla, Inc. Common Stock (TSLA)",31/12/2019,24578000,20509000,4069000,1343000,2646000,149000,0,-69000,89000,20000,685000,-665000,110000,0,-87000,-862000,-862000,-862000
