,Unnamed: 0,Symbol,Name,Date,Current Assets,Cash and Cash Equivalents,Short-Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long-Term Assets,Long-Term Investments,Fixed Assets,Goodwill,Intangible Assets,Other Assets,Deferred Asset Charges,Total Assets,Current Liabilities,Accounts Payable,Short-Term Debt / Current Portion of Long-Term Debt,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Other Liabilities,Deferred Liability Charges,Misc. Stocks,Minority Interest,Total Liabilities,Stock Holders Equity,Common Stocks,Capital Surplus,Retained Earnings,Treasury Stock,Other Equity,Total Equity,Total Liabilities & Equity
0,0,bhp,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares) (BHP),6/30/2023,,"$12,428,000",--,"$5,102,000","$5,220,000","$601,000","$23,351,000",,"$1,768,000","$73,221,000",--,"$1,610,000","$1,290,000","$56,000","$101,296,000",,"$6,907,000",--,"$12,136,000","$19,043,000","$72,000","$29,302,000","$4,349,000","$4,034,000",--,"$56,800,000",,"$4,737,000","$39,787,000","-$41,000",--,"$13,000","$44,496,000","$101,296,000"
1,1,bhp,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares) (BHP),6/30/2022,,"$17,236,000",--,"$5,689,000","$4,935,000","$804,000","$28,664,000",,"$1,573,000","$62,610,000",--,"$1,369,000","$894,000","$56,000","$95,166,000",,"$9,719,000",--,"$7,200,000","$16,919,000","$87,000","$26,281,000","$3,113,000","$3,809,000",--,"$50,209,000",,"$4,638,000","$40,338,000","-$31,000",--,"$12,000","$44,957,000","$95,166,000"
2,2,bhp,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares) (BHP),6/30/2021,,"$15,246,000",--,"$6,338,000","$4,426,000","$683,000","$26,693,000",,"$2,079,000","$75,171,000",--,"$1,437,000","$1,635,000","$1,912,000","$108,927,000",,"$9,827,000",--,"$6,576,000","$16,403,000","$120,000","$33,300,000","$3,499,000","$4,341,000",--,"$57,663,000",,"$2,168,000","$46,779,000","-$33,000",--,"$2,350,000","$51,264,000","$108,927,000"
3,3,bhp,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares) (BHP),6/30/2020,,"$13,426,000",--,"$3,730,000","$4,101,000","$214,000","$21,471,000",,"$2,852,000","$73,583,000",--,"$1,574,000","$2,565,000","$3,688,000","$105,733,000",,"$6,680,000",--,"$8,144,000","$14,824,000","$110,000","$34,635,000","$3,989,000","$4,310,000",--,"$57,868,000",,"$2,168,000","$43,396,000","-$5,000",--,"$2,306,000","$47,865,000","$105,733,000"
4,4,rio,Rio Tinto Plc Common Stock (RIO),12/31/2022,,"$6,775,000",--,"$3,825,000","$6,213,000","$2,160,000","$18,973,000",,"$5,191,000","$64,937,000","$826,000","$3,645,000","$406,000","$2,766,000","$96,744,000",,"$8,623,000","$923,000","$2,057,000","$11,603,000","$10,788,000","$18,478,000","$3,601,000","$2,099,000",--,"$46,569,000",,"$3,537,000","$34,511,000",--,"$4,322,000","$7,805,000","$50,175,000","$96,744,000"
5,5,rio,Rio Tinto Plc Common Stock (RIO),12/31/2021,,"$12,807,000",--,"$3,646,000","$5,436,000","$2,543,000","$24,432,000",,"$5,727,000","$65,123,000","$879,000","$2,832,000","$528,000","$3,375,000","$102,896,000",,"$11,246,000","$1,381,000",--,"$12,627,000","$14,246,000","$15,930,000","$3,503,000","$5,158,000",--,"$51,464,000",,"$3,777,000","$33,337,000",--,"$4,320,000","$9,998,000","$51,432,000","$102,896,000"
6,6,rio,Rio Tinto Plc Common Stock (RIO),12/31/2020,,"$10,381,000",--,"$3,706,000","$3,917,000","$2,851,000","$20,855,000",,"$5,564,000","$63,056,000","$946,000","$2,755,000","$829,000","$3,385,000","$97,390,000",,"$11,000,000","$607,000",--,"$11,607,000","$14,705,000","$15,936,000","$3,239,000","$4,849,000",--,"$50,336,000",,"$3,988,000","$26,792,000",--,"$4,314,000","$11,960,000","$47,054,000","$97,390,000"
7,7,rio,Rio Tinto Plc Common Stock (RIO),12/31/2019,,"$8,027,000",--,"$3,143,000","$3,463,000","$2,670,000","$17,303,000",,"$5,692,000","$57,511,000","$922,000","$2,637,000","$635,000","$3,102,000","$87,802,000",,"$9,753,000","$1,372,000",--,"$11,125,000","$14,511,000","$13,704,000","$3,220,000","$4,710,000",--,"$47,270,000",,"$3,655,000","$23,387,000",--,"$4,313,000","$9,177,000","$40,532,000","$87,802,000"
8,8,vale,VALE S.A. American Depositary Shares Each Representing one common share (VALE),12/31/2022,,"$4,736,000","$61,000","$5,591,000","$4,482,000","$656,000","$15,526,000",,"$1,798,000","$44,938,000",--,"$10,238,000","$3,624,000","$10,770,000","$86,894,000",,"$8,225,000","$489,000","$5,177,000","$13,891,000","$14,948,000","$19,284,000","$1,413,000","$1,491,000",--,"$51,027,000",,--,--,--,--,--,"$35,867,000","$86,894,000"
9,9,vale,VALE S.A. American Depositary Shares Each Representing one common share (VALE),12/31/2021,,"$11,721,000","$184,000","$4,776,000","$4,377,000","$326,000","$21,384,000",,"$1,751,000","$42,907,000",--,"$9,011,000","$2,948,000","$11,441,000","$89,442,000",,"$7,437,000","$1,204,000","$6,557,000","$15,198,000","$15,997,000","$21,060,000","$1,881,000","$834,000",--,"$54,970,000",,--,--,--,--,--,"$34,472,000","$89,442,000"
10,10,vale,VALE S.A. American Depositary Shares Each Representing one common share (VALE),12/31/2020,,"$13,487,000","$771,000","$5,502,000","$4,061,000","$582,000","$24,403,000",,"$2,031,000","$41,148,000",--,"$9,296,000","$4,794,000","$10,335,000","$92,007,000",,"$6,415,000","$1,136,000","$7,043,000","$14,594,000","$17,304,000","$23,518,000","$1,770,000","-$923,000",--,"$56,263,000",,--,--,--,--,--,"$35,744,000","$92,007,000"
